"LSL channel","Enobio position"
"EEG 001","P7"
"EEG 002","P4"
"EEG 003","Cz"
"EEG 004","Pz"
"EEG 005","P3"
"EEG 006","P8"
"EEG 007","O1"
"EEG 008","O2"
"EEG 009","T8"
"EEG 010","F8"
"EEG 011","C4"
"EEG 012","F4"
"EEG 013","Fp2"
"EEG 014","Fz"
"EEG 015","C3"
"EEG 016","F3"
"EEG 017","Fp1"
"EEG 018","T7"
"EEG 019","F7"
"EEG 020","Oz"
"EEG 021","PO4"
"EEG 022","FC6"
"EEG 023","FC2"
"EEG 024","AF4"
"EEG 025","CP6"
"EEG 026","CP2"
"EEG 027","CP1"
"EEG 028","CP5"
"EEG 029","FC1"
"EEG 030","FC5"
"EEG 031","AF3"
"EEG 032","PO3"
